Indicadores,Periodo,value
Población total,1910,15160369.0
Población total,1921,14334780.0
Población total,1930,16552722.0
Población total,1940,19653552.0
Población total,1950,25791017.0
Población total,1960,34923129.0
Población total,1970,48225238.0
Población total,1980,66846833.0
Población total,1990,81249645.0
Población total,1995,91158290.0
Población total,2000,97483412.0
Población total,2005,103263388.0
Población total,2010,112336538.0
Población total,2015,119938473.0
Población total,2020,126014024.0
